RUC,RAZON_SOCIAL,REMYPE_DEPARTAMENTO,REMYPE_PROVINCIA,REMYPE_DISTRITO,DOMICILIO_FISCAL,APP_INFORMATICO_DEMANDAS,SIAF,ESTADO_DEUDA,TIPO_DOCUMENTO,DOC_DEVEN_O_SENTEN_JUDI,MONTO_DEUDA,DESC_NIVEL_GOBIERNO,DESC_SECTOR,DESC_PLIEGO,SEC_EJEC,DESC_EJECUTORA,OBSERVACION_GLOSA
20486474131,VARZA INGENIEROS S.C.R.L.,JUNIN,JUNIN,CARHUAMAYO,SIN INFORMACION,NO,SI,SIAF,FACTURA,23,0.01,GOBIERNO LOCAL,JUNIN,MUNICIPALIDAD DISTRITAL DE RIO TAMBO,301097,MUNICIPALIDAD DISTRITAL DE RIO TAMBO,"OS-00001064: CONTRATACI?N DEL SERVICIO DE CONSULTOR?A DE OBRA, PARA LA SUPERVISI?N DE LA OBRA: MEJORAMIENTO"
20489598494,HAGAL SOCIEDAD ANONIMA CERRADA,HUANUCO,HUANUCO,AMARILIS,SIN INFORMACION,NO,SI,SIAF,FACTURA,12,0.01,GOBIERNO LOCAL,HUANUCO,MUNICIPALIDAD PROVINCIAL DE HUACAYBAMBA,300912,MUNICIPALIDAD PROVINCIAL DE HUACAYBAMBA,"ADQUISICION DE MATERIALES AGREGADOS PARA LA ACTIVIDAD LIMPIEZA, MANTENIMIENTO Y ACONDICIONAMIENTO DE LA TROCHA CARROZABLE EN LOS SECTORES HUCAYBAMBA-SAN PEDRO DEL DISTRITO DE HUACAYBAMBA-PROVINCIA DE HUACAYBAMBA-DEPARTAMENTO DE HUANUCO"
20489716951,"V & A CONSTRUCTORA, CONSULTORIA Y MULTISERVICIOS SOCIEDAD ANÓNIMA CERRADA",JUNIN,HUANCAYO,HUANCAYO,SIN INFORMACION,NO,SI,SIAF,FACTURA,72,0.01,GOBIERNO LOCAL,HUANCAVELICA,MUNICIPALIDAD DISTRITAL DE PICHOS,301871,MUNICIPALIDAD DISTRITAL DE PICHOS,SERVICIO DE ZAPATAS DE CONCRETO PARA LA OBRA MEJORAMIENTO Y AMPLIACION DEL LOCAL MUNICIPAL PARA EL SERVICIO DE USOS MULTIPLES DISTRITO DE PICHOS
20492687180,SERPAEM SOCIEDAD ANONIMA CERRADA - SERPAEM S.A.C.,LIMA,LIMA,SANTIAGO DE SURCO,SIN INFORMACION,NO,SI,SIAF,FACTURA,262,0.01,GOBIERNO NACIONAL,TRANSPORTES Y COMUNICACIONES,SUTRAN - GESTION Y ADMINISTRACION GENERAL,1346,SUTRAN - GESTION Y ADMINISTRACION GENERAL,servicio de limpieza y mantenimiento de las sedes de la sutran
20492687180,SERPAEM SOCIEDAD ANONIMA CERRADA - SERPAEM S.A.C.,LIMA,LIMA,SANTIAGO DE SURCO,SIN INFORMACION,NO,SI,SIAF,FACTURA,263,0.01,GOBIERNO NACIONAL,TRANSPORTES Y COMUNICACIONES,SUTRAN - GESTION Y ADMINISTRACION GENERAL,1346,SUTRAN - GESTION Y ADMINISTRACION GENERAL,servicio de limpieza y mantenimiento de las sedes de la sutran
20492687180,SERPAEM SOCIEDAD ANONIMA CERRADA - SERPAEM S.A.C.,LIMA,LIMA,SANTIAGO DE SURCO,SIN INFORMACION,NO,SI,SIAF,FACTURA,296,0.01,GOBIERNO NACIONAL,TRANSPORTES Y COMUNICACIONES,SUTRAN - GESTION Y ADMINISTRACION GENERAL,1346,SUTRAN - GESTION Y ADMINISTRACION GENERAL,servicio de limpieza y mantenimiento de las sedes de la sutran
20528115897,CABALLERO CONTRATISTAS GENERALES E.I.R.L.,LORETO,DATEM DEL MARAÑON,MANSERICHE,SIN INFORMACION,NO,SI,SIAF,FACTURA,965,0.01,GOBIERNO LOCAL,LORETO,MUNICIPALIDAD PROVINCIAL DE DATEM DEL MARAÑON,301436,MUNICIPALIDAD PROVINCIAL DE DATEM DEL MARAÑON,POR EL COMPROMISO ANUAL SEGUN CONTRATO N° 125-2023-MPDM/GM PARA LA CONTRATACION DE LA EJECUCION DE LA OBRA: SALDO DE LA OBRA RENOVACION DE VIAS VECINALES EN LOS BARRIOS EN LA LOCALIDAD DE SAN LORENZO 
20528299688,ER CONSTRUCCIONES EIRL,LORETO,MAYNAS,IQUITOS,SIN INFORMACION,NO,SI,SIAF,FACTURA,137,0.01,GOBIERNO LOCAL,PIURA,MUNICIPALIDAD PROVINCIAL DE PIURA,301529,MUNICIPALIDAD PROVINCIAL DE PIURA,requerimiento para pago varios de obra: REHABILITACION DE LA INSTITUCIÓN EDUCATIVA No 15317 CESAR ABRAHAM VALLEJO EN EL AH CONSUELO VELASCO EN EL DISTRITO DE PIURA
20542909421,CONSTRUCTORA LOBOS E.I.R.L,TUMBES,TUMBES,TUMBES,SIN INFORMACION,NO,SI,SIAF,FACTURA,33,0.01,GOBIERNO LOCAL,TUMBES,MUNICIPALIDAD DISTRITAL DE SAN JUAN DE LA VIRGEN,301809,MUNICIPALIDAD DISTRITAL DE SAN JUAN DE LA VIRGEN,"CONTRATACION PARA EJECUCION DE IOARR REPARACION DE PLAZOLETA; EN EL(LA) PLAZOLETA DEL CENTRO POBLADO DE GARBANZAL DISTRITO DE SAN JUAN DE LA VIRGEN, PROVINCIA DE TUMBES, DEPARTAMENTO DE TUMBES CON CUI N° 2613462 "
20545815215,INVERSIONES YOLIED SOCIEDAD ANONIMA CERRADA,LIMA,LIMA,LIMA CERCADO,SIN INFORMACION,NO,SI,SIAF,FACTURA,76,0.01,GOBIERNO NACIONAL,AGRARIO Y DE RIEGO,SERVICIO NACIONAL DE SANIDAD AGRARIA - SENASA,720,PROGRAMA DE DESARROLLO DE SANIDAD AGROPECUARIA - PRODESA,NC OC 223
20546468101,GRUPO GURKAS S.A.C.,LIMA,LIMA,SAN JUAN DE MIRAFLORES,SIN INFORMACION,NO,SI,SIAF,FACTURA,338,0.01,GOBIERNO NACIONAL,TRANSPORTES Y COMUNICACIONES,SUTRAN - GESTION Y ADMINISTRACION GENERAL,1346,SUTRAN - GESTION Y ADMINISTRACION GENERAL,SERVICIO DESEGURIDAD Y VIGILANCIA PARA ELDEPOSITO VEHICULAR DE LA SUTRAN
20559825892,EMPRESA DE PROYECTOS DE INGENIERIA EMC PROYECT E.I.R.L.,LA LIBERTAD,TRUJILLO,LA ESPERANZA,SIN INFORMACION,NO,SI,SIAF,FACTURA,416,0.01,GOBIERNO LOCAL,LA LIBERTAD,MUNICIPALIDAD DISTRITAL DE SITABAMBA,301204,MUNICIPALIDAD DISTRITAL DE SITABAMBA,POR EL COMPROMISO MENSUAL POR EL CONTRATO DE LA EJECUCION DE OBRA: ¿MEJORAMIENTO DE LOS SERVICIOS EDUCATIVOS DE LA I.E. N° 80595 EN EL CENTRO POBLADO DE CHAGAVARA DEL DISTRITO DE SITABAMBA - PROVINCIA DE SANTIAGO DE CHUCO - DEPARTAMENTO DE LA LIBERTA
20600334213,HUASCARAN CONSTRUCTORA BLAS S.A.C.,LIMA,LIMA,VILLA EL SALVADOR,SIN INFORMACION,NO,SI,SIAF,FACTURA,151,0.01,GOBIERNO LOCAL,PROVINCIA CONSTITUCIONAL DEL CALLAO,MUNICIPALIDAD DISTRITAL DE BELLAVISTA,300678,MUNICIPALIDAD DISTRITAL DE BELLAVISTA,PAGO POR VALORIZACION DE OBRA N° 03 DEL PIP CON CUI N° 2567067
20600352513,GRUPO PERUANO DE NEGOCIOS ROMAS S.A.C.,LIMA,LIMA,SANTA ANITA,SIN INFORMACION,NO,SI,SIAF,CONTRATO SUSCRITO (VARIOS),FACT. E001-904,0.01,GOBIERNO LOCAL,LIMA,MUNICIPALIDAD METROPOLITANA DE LIMA,301250,MUNICIPALIDAD METROPOLITANA DE LIMA,SUBAS INVERSA ELEC - ADQUISICION DE ALIMENTOS PANTBC - REAJUSTE DE PRECIOS
20600362845,EMPRESA NOMBRE PADRE HIJO LOPEZ SERVICIOS MULTIPLES SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,PASCO,PASCO,CHAUPIMARCA,SIN INFORMACION,NO,SI,SIAF,FACTURA,139,0.01,GOBIERNO LOCAL,PASCO,MUNICIPALIDAD DISTRITAL DE YANACANCHA,301513,MUNICIPALIDAD DISTRITAL DE YANACANCHA,"SERVICIO DE EJECUCION DE LA OBRA REPARACION DE MOTONIVELADORA; EN EL(LA) SUB GERENCIA DE INVERSION Y MAQUINARIA DE LA MUNICIPALIDAD DISTRITAL DE YANACANCHA, DISTRITO DE YANACANCHA, PROVINCIA PASCO, DEPARTAMENTO PASCO"
20600677251,CONSTRUCTORA BINYAPI S.A.C.,LIMA,LIMA,PUENTE PIEDRA,SIN INFORMACION,NO,SI,SIAF,FACTURA,20,0.01,GOBIERNO LOCAL,ANCASH,MUNICIPALIDAD DISTRITAL DE CHAVIN DE HUANTAR,300153,MUNICIPALIDAD DISTRITAL DE CHAVIN DE HUANTAR,"POR EL DEDUCTIVO VINCULANTE Y ADICIONAL DE OBRA N° 02 CORRESPONDIENTE A LA OBRA: MEJORAMIENTO DEL SERVICIO DE EDUCACIÓN INICIAL DE LA IE INICIAL NO ESCOLARIZADA NIÑO JESÚS, EN EL CASERÍO DE TANIN, DISTRITO DE CHAVIN DE HUANTAR"
20601075971,COMERCIAL GOMEZ Y COSIO S.A.C. - COMESIO S.A.C.,LIMA,LIMA,PUENTE PIEDRA,SIN INFORMACION,NO,SI,SIAF,FACTURA,1183,0.01,GOBIERNO NACIONAL,SALUD,M. DE SALUD,132,HOSPITAL NACIONAL HIPOLITO UNANUE,"Contrato-59-2023-HNHU.: SIE N° 9-2023-HNHU / CONTRATO N° 59-2023-HNHU / ""SUMINISTRO DE CARNE DE PESCADO PARA EL DEPARTAMENTO DE NUTRICIÓN DEL HNHU"" - CCP N° 40"
20601208149,L & C TECNOLOGIA EN ACABADOS SOCIEDAD ANONIMA CERRADA - L & C TECNOLOGIA EN ACABADOS S.A.C.,LIMA,LIMA,COMAS,SIN INFORMACION,NO,SI,SIAF,RESUMEN DE SERVICIOS,E001-74,0.01,GOBIERNO NACIONAL,TRABAJO Y PROMOCION DEL EMPLEO,M. DE TRABAJO Y PROMOCION DEL EMPLEO,1658,"PROGR. PARA EL MEJORAMIENTO Y AMPLIAC. DE LOS SERV. DEL CENTRO DE EMPLEO ""FORTALECE PERU""",1.2.2.1.8A ACONDICIONAMIENTO DE AMBIENTES PARA LA IMPLEMENTACIÓN DE LA UNIDAD DE ANÁLISIS Y PROSPECTIVA DE LA DIRECCIÓN DE INVESTIGACIÓN SOCIO ECONÓMICO LABORAL (DISEL)
20601459800,G Y J CONSTRUCTORES Y CONSULTORES S.A.C.,LIMA,LIMA,SAN MIGUEL,SIN INFORMACION,NO,SI,SIAF,CONTRATO SUSCRITO (VARIOS),MEMO. Nº 1463-GAF,0.01,GOBIERNO LOCAL,LIMA,MUNICIPALIDAD DISTRITAL DE LURIN,301268,MUNICIPALIDAD DISTRITAL DE LURIN,por creacion  del servicio de practica deportiva y/o recreativa - as-006-2023-cs-mdl
20601527457,COMPETROL S.A.C.,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,SIN INFORMACION,NO,SI,SIAF,FACTURA,2380,0.01,GOBIERNO NACIONAL,PRESIDENCIA CONSEJO MINISTROS,AUTORIDAD NACIONAL DEL SERVICIO CIVIL,1314,AUTORIDAD NACIONAL DEL SERVICIO CIVIL,"OC-00000001: CCP 193: SUMISTRO DE COMBUSTIBLE PARA EL ABASTECIMIENTO DE LOS VEHICULOS DE PLACA EGC-765, EGC-767,EGC-769, EGW-317 Y GRUPO ELECTRÓGENO DEL TSC"
20601707889,CONSTRUCTORA Y SERVICIOS GENERALES ROSSLYN S.A.C.,AYACUCHO,HUAMANGA,SAN JUAN BAUTISTA,SIN INFORMACION,NO,SI,SIAF,FACTURA,031,0.01,GOBIERNO LOCAL,AYACUCHO,MUNICIPALIDAD DISTRITAL DE SAN CRISTOBAL,300493,MUNICIPALIDAD DISTRITAL DE SAN CRISTOBAL,COMPROMISO ANUAL DEL PROYECTO JOSE CARLOS MARIATEGUI RCC
20601710308,CORPORACION REYSANA BIENESTAR S.R.L.,UCAYALI,CORONEL PORTILLO,CALLERIA,SIN INFORMACION,NO,SI,SIAF,FACTURA,2004,0.01,GOBIERNO NACIONAL,PRESIDENCIA CONSEJO MINISTROS,ORGANISMO SUPERVISOR DE LA INVERSION PRIVADA EN TELECOMUNICACIONES,1265,ORGANISMO SUPERVISOR DE LA INVERSION PRIVADA EN TELECOMUNICACIONES,ADQUISICION UTILES PAQ 3
20601793068,INVERSIONES LAEL S.A.C.,ICA,NAZCA,VISTA ALEGRE,SIN INFORMACION,NO,SI,SIAF,FACTURA,104,0.01,GOBIERNO LOCAL,ICA,MUNICIPALIDAD DISTRITAL DE VISTA ALEGRE,300989,MUNICIPALIDAD DISTRITAL DE VISTA ALEGRE,"ORDEN QUE SE GENERA PAGO DE EQUIPOS MENORES EN EL PROYECTO"" CONSTRUCCION DE RED DE DISTRIBUCIION"
20601829712,AIR ECOLOGY EIRL,LIMA,LIMA,SAN MARTIN DE PORRES,SIN INFORMACION,NO,SI,SIAF,FACTURA,0213,0.01,GOBIERNO NACIONAL,CULTURA,M. DE CULTURA,1369,MC- NAYLAMP - LAMBAYEQUE,OS-00000035: MANTENIMIENTO PREVENTIVO DE EQUIPOS DE AIRE ACONDICIONADO DEL MUSEO ARQUEOLÓGICO NACIONAL BRUNING
20602703747,IHAM PROYECTOS S.A.C.,ICA,ICA,ICA,SIN INFORMACION,NO,SI,SIAF,FACTURA,85,0.01,GOBIERNO LOCAL,ICA,MUNICIPALIDAD PROVINCIAL DE PALPA,300990,MUNICIPALIDAD PROVINCIAL DE PALPA,"COMPROMISO ANUAL QUE SE REGISTRA POR LA EJECUCION DE OBRA ""REPARACION DEL SISTEMA DE SANEAMIENTO BASICO DE LA LOCALIDAD DE SAN IGNACIO, DISTRITO DE PALPA, PROVINCIA DE PALPA, REGION ICA, AFECTADO POR EL FENOMENO DEL NIÑO COSTERO"" CUI 249821"
20602770266,CONTACT BPO S.A.C.,LIMA,LIMA,SURQUILLO,SIN INFORMACION,NO,SI,SIAF,FACTURA,629,0.01,GOBIERNO NACIONAL,ECONOMIA Y FINANZAS,SUPERINTENDENCIA NACIONAL DE ADUANAS Y DE ADMINISTRACION TRIBUTARIA,1273,SUPERINTENDENCIA NACIONAL DE ADUANAS Y DE ADMINISTRACION TRIBUTARIA,CONT. 8B7300   DEC./ .CP-00010-2021-SUNAT-8B7200  / C.00173-2021/SUNAT / SERV. DE CENTRO DE CONTACTOS -
20603652224,CORPORATION MEDICAL SOLUTION SOCIEDAD ANONIMA CERRADA - CORPORATION MEDICAL SOLUTION S.A.C.,LIMA,LIMA,LINCE,SIN INFORMACION,NO,SI,SIAF,FACTURA,103,0.01,GOBIERNO NACIONAL,SALUD,M. DE SALUD,1670,HOSPITAL DE EMERGENCIAS VILLA EL SALVADOR,"Contrato-061-2022-HEVES.: REQUERIMIENTO ANUAL DE ROPA QUIRURGICA PARA EL SERVICIO DE ANESTESIOLOGIA Y CNETRO QUIRURGICO DEL HEVES - ITEMS 2,3,4"
20603772530,GRUPO CEREGRAL- CP EIRL,LAMBAYEQUE,CHICLAYO,CHICLAYO,SIN INFORMACION,NO,SI,SIAF,FACTURA,721,0.01,GOBIERNO LOCAL,LAMBAYEQUE,MUNICIPALIDAD DISTRITAL DE MOTUPE,301244,MUNICIPALIDAD DISTRITAL DE MOTUPE,Contrato-001-2023-GM/MDM: ADQUISICION DE HOJUELAS PRECOCIDAS DE QUINUA AVENA CENTENO AZUCARADA CON LECHE ENTERA EN POLVO OMEGA 3 Y 6 ENRIQUECIDA CON CALCIO MINERALES Y VITAMINAS PARA EL PROGRAMA DE VASO DE LECHE DEL ANO 2023
20603876068,LIMPIEZA Y SERVICIOS INTEGRALES ARIES ORIENTE S.A.C.,UCAYALI,CORONEL PORTILLO,CALLERIA,SIN INFORMACION,NO,SI,SIAF,FACTURA,192,0.01,GOBIERNO NACIONAL,COMERCIO EXTERIOR Y TURISMO,MINISTERIO DE COMERCIO EXTERIOR Y TURISMO- DIRECCION GENERAL DE ADMINISTRACION,1070,MINISTERIO DE COMERCIO EXTERIOR Y TURISMO- DIRECCION GENERAL DE ADMINISTRACION,Orden de Servicio N 01979
20604126518,PERU INGENIERIA Y SERVICIOS EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA,HUANUCO,LEONCIO PRADO,RUPA-RUPA,SIN INFORMACION,NO,SI,SIAF,FACTURA,194,0.01,GOBIERNO LOCAL,UCAYALI,MUNICIPALIDAD PROVINCIAL DE PADRE ABAD - AGUAITIA,301826,MUNICIPALIDAD PROVINCIAL DE PADRE ABAD - AGUAITIA,CONTRATACION DE LA EJECUCION DE LA OBRA RENOVACION DE PUENTE EN EL LA CAMINO VECINAL R250351 PUENTE TAHUAYO EN LA LOCALIDAD CORAZON JESUS DISTRITO DE ALEXANDER VON HUMBOLDT PROV PADRE ABAD UCAYALI CUI N 2527607 AS N 021 2023 MPPAA CS 1RA CONV
20604150699,CELESTE CONTRATISTAS GENERALES A&G E.I.R.L.,AYACUCHO,HUAMANGA,ANDRES AVELINO CACERES DORREGARAY,SIN INFORMACION,NO,SI,SIAF,FACTURA,31,0.01,GOBIERNO LOCAL,AYACUCHO,MUNICIPALIDAD DISTRITAL DE CHAVIÑA,300483,MUNICIPALIDAD DISTRITAL DE CHAVIÑA,COMPROMISO PARA EL PAGO DE SERVICIOS DE LA 4TA VALORIZACION DE LA OBRA AGUA POTABLE Y ALCANTARILLADO DE SANTA ROSA
20604366993,FEYCY E.I.R.L.,AREQUIPA,AREQUIPA,PAUCARPATA,SIN INFORMACION,NO,SI,SIAF,CONTRATO SUSCRITO (VARIOS),RGM 050-2023-GM/MDCH,0.01,GOBIERNO LOCAL,AREQUIPA,MUNICIPALIDAD DISTRITAL DE CHIGUATA,300336,MUNICIPALIDAD DISTRITAL DE CHIGUATA,"FIEL CUMPLIMIENTO DE LA OBRA POR CONTRATA: CREACION DE LA TROCHA CARROZABLE LOS ARENALES, EL INFIERNILLO BOCATOMA, SECTOR LOS ARENALES DISTRITO DE CHIGUATA, APROBADO CON RESOLUCION DE GERENCIA MUNICIPAL N 050-2023-GM/MDCH"
20604401802,REPRESENTACIONES Y SERVICIOS DIVERSOS NIEVA CORP EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA,AMAZONAS,CONDORCANQUI,NIEVA,SIN INFORMACION,NO,SI,SIAF,FACTURA,0000397,0.01,GOBIERNO REGIONAL,GOBIERNOS REGIONALES,GOBIERNO REGIONAL DEL DEPARTAMENTO DE AMAZONAS,1023,REGION AMAZONAS- GERENCIA SUB REGIONAL CONDORCANQUI,COMPROMISO ANUAL PARA ATENDER AL PROVEEDOR REPRESENTACIONES Y SERVICIOS NIEVA CORP EIRL
20605513663,ROBERLAC S.A.C.,LORETO,MAYNAS,SAN JUAN BAUTISTA,SIN INFORMACION,NO,SI,SIAF,ORDEN DE COMPRA - GUÍA DE INTERNAMIENTO,0000042,0.01,GOBIERNO LOCAL,LORETO,MUNICIPALIDAD DISTRITAL DE TIGRE,301447,MUNICIPALIDAD DISTRITAL DE TIGRE,POR EL COMPROMISO ANUAL DE LA ADQUISICION DE INSUMOS PARA EL PROGRAMA VASO DE LECHE
20605513663,ROBERLAC S.A.C.,LORETO,MAYNAS,SAN JUAN BAUTISTA,SIN INFORMACION,NO,SI,SIAF,ORDEN DE COMPRA - GUÍA DE INTERNAMIENTO,0000043,0.01,GOBIERNO LOCAL,LORETO,MUNICIPALIDAD DISTRITAL DE TIGRE,301447,MUNICIPALIDAD DISTRITAL DE TIGRE,POR EL COMPROMISO ANUAL DE LA ADQUISICION DE INSUMOS PARA EL PROGRAMA VASO DE LECHE
20605513663,ROBERLAC S.A.C.,LORETO,MAYNAS,SAN JUAN BAUTISTA,SIN INFORMACION,NO,SI,SIAF,ORDEN DE COMPRA - GUÍA DE INTERNAMIENTO,0000058,0.01,GOBIERNO LOCAL,LORETO,MUNICIPALIDAD DISTRITAL DE TIGRE,301447,MUNICIPALIDAD DISTRITAL DE TIGRE,POR EL COMPROMISO ANUAL DE LA ADQUISICION DE INSUMOS PARA EL PROGRAMA VASO DE LECHE
20605513663,ROBERLAC S.A.C.,LORETO,MAYNAS,SAN JUAN BAUTISTA,SIN INFORMACION,NO,SI,SIAF,ORDEN DE COMPRA - GUÍA DE INTERNAMIENTO,0000104,0.01,GOBIERNO LOCAL,LORETO,MUNICIPALIDAD DISTRITAL DE TIGRE,301447,MUNICIPALIDAD DISTRITAL DE TIGRE,POR EL COMPROMISO ANUAL DE LA ADQUISICION DE INSUMOS PARA EL PROGRAMA VASO DE LECHE
20606353775,MIRAGE CONSULTORES S.A.C.,LIMA,LIMA,BARRANCO,SIN INFORMACION,NO,SI,SIAF,FACTURA,61,0.01,GOBIERNO REGIONAL,GOBIERNOS REGIONALES,GOBIERNO REGIONAL DEL DEPARTAMENTO DE AREQUIPA,760,REGION AREQUIPA-PROYECTO ESPECIAL COPASA,OS-00000072: DISEÑO Y ELABORACION DE MATERIALES PUBLICITARIOS PARA EL PROYECTO DER AREQUIPA
20606773154,RV LOGISTICS S.A.C.,LIMA,LIMA,RIMAC,SIN INFORMACION,NO,SI,SIAF,FACTURA,424,0.01,GOBIERNO NACIONAL,EDUCACION,M. DE EDUCACION,61,USE 06 VITARTE,"SERVICIO DE TRANSPORTE Y DISTRIBUCIÓN DE MATERIALES EDUCATIVOS ¿ DOTACIÓN 2023-TRAMO I, HACIA LAS IN"
